08-02-2019 10:19:48.426,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM11 - 9600/8/N/1/N,3"

08-01-2019 17:06:36.693,5955,RECV,7E005A900013A200417E3816FFFE410000170A000152E004657B400C6466F1F6C163B13FFFA0B13CA0B50C9B48CA0B06CA0B06C0B06CA16B38CA4B06CA34B56C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100378B58C59B10C17A
08-01-2019 17:06:37.600,5956,RECV,7E0073900013A200417E3816FFFE410000170B000049E004657B400C7562F1F6C163B13FFFA0B14CA0B49C9B48CFB00C0B12CA0B06CA17B88CA4B38CA35B69C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100378B92C59B03C162B92C3141B00AA0000000000000000000000000000000000003D
08-01-2019 17:06:37.700,5957,RECV,7E005A900013A200417E3816FFFE410000170C000049E004657B400C7562F1F6C163B13FFFA0B14CA0B49C9B48CFB00C0B12CA0B06CA17B88CA4B38CA35B69C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100378B92C59B03C1695
08-01-2019 17:06:37.800,5958,RECV,7E005A900013A200417E3816FFFE410000170D000151E004657B400C7562F1F6C163B13FFFA0B14CA0B49C9B48C0B00C0B12CA0B06CA17B88CA4B38CA35B69C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100378B92C59B03C169A
08-01-2019 17:06:39.357,5959,RECV,7E0073900013A200417E3816FFFE410000170E000049E004657B400C9294F1F6C163B13FFFA0B13CA0B47C9B46CF0B06C0B00C0B06CA16B75CA3B69CA34B88C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100379B19C59B11C162B90C3148B00AA0000000000000000000000000000000000008C
08-01-2019 17:06:39.420,5960,RECV,7E005A900013A200417E3816FFFE410000170F000049E004657B400C9294F1F6C163B13FFFA0B13CA0B47C9B46CF0B06C0B00C0B06CA16B75CA3B69CA34B88C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100379B19C59B11C1652
08-01-2019 17:06:39.560,5961,RECV,7E005B900013A200417E3816FFFE4100001710000154E004657B400C9294F1F6C163B13FFFA0B13CA0B47C9B46CA0B06C0B00C0B06CA16B75CA3B69CA34B88C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100379B19C59B11C162B1F
08-01-2019 17:06:40.415,5962,RECV,7E0073900013A200417E3816FFFE4100001711049152E004657B400C10383FF1F6C163B13FFFA0B14CA0B49C9B47C0B06C0B06C0B00CA17B88CA4B75CA34B56C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100378B08C59B09C162B99C3143B00AA00000000000000000000000000000000000B0
08-01-2019 17:06:40.852,5963,RECV,7E006F900013A200417E3816FFFE4100001712040153E004657B400C10798FF1F6C163B13FFFA0B12CA0B48C9B47C0B06CA0B12C0B00CA17B56CA5B06CA34B56C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B01C100379B87C59B11C162B84C3152B00AA000000000000000000000000006A
08-01-2019 17:06:41.868,5964,RECV,7E0070900013A200417E3816FFFE4100001713000040E004657B400C11814FF1F6C163B13FFFA0B12CAFB49C9B44CA0B06CA0B38C0B06CA16B38CA4B75CA34B88C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B00C100378B78C58B94C162B93C3151B50AA00000000000000000000000000054
08-01-2019 17:06:41.993,5965,RECV,7E005C900013A200417E3816FFFE4100001714000040E004657B400C11814FF1F6C163B13FFFA0B12CAFB49C9B44CA0B06CA0B38C0B06CA16B38CA4B75CA34B88C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B00C100378B78C58B94C16229
08-01-2019 17:06:42.087,5966,RECV,7E005B900013A200417E3816FFFE4100001715000153E004657B400C11814FF1F6C163B13FFFA0B12CA0B49C9B44CA0B06CA0B38C0B06CA16B38CA4B75CA34B88C359B94CA0B81C2B88CA0B13CA0B50C9B79C23B00C100378B78C58B94C185
