07-31-2019 11:57:38.233,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM11 - 9600/8/N/1/N,3"
07-30-2019 21:24:59.938,20,RECV,7E006C900013A200417E3816FFFE4100000040000040E012442B947C7771F1F6C164B52FFFA0B16CA0B34C9B46C0B06CA0B19C0B00CA12B06C8B38C10B38C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100359B44C55B56C164B55C8809B00AA00000000000000000000000000B0
07-30-2019 21:25:04.998,21,RECV,7E0059900013A200417E3816FFFE4100000041000040E012442B947C7771F1F6C164B52FFFA0B16CA0B34C9B46C0B06CA0B19C0B00CA12B06C8B38C10B38C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100359B44C55B56C164B91
07-30-2019 21:25:05.098,22,RECV,7E0059900013A200417E3816FFFE4100000042000049E012442B947C7771F1F6C164B52FFFA0B16CA0B34C9B46CFB06CA0B19C0B00CA12B06C8B38C10B38C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100359B44C55B56C164B78
07-30-2019 21:25:05.198,23,RECV,7E0058900013A200417E3816FFFE4100000043000148E012442B947C7771F1F6C164B52FFFA0B16CA0B34C9B46C0B06CA0B19C0B00CA12B06C8B38C10B38C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100359B44C55B56C16D1
07-30-2019 21:25:10.198,24,RECV,7E006C900013A200417E3816FFFE4100000044000040E012442B947C18287FF1F6C164B52FFFA0B15CAFB34C9B45C0B06C0B06C0B06CA12B38C9B50C8B50C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100356B89C55B38C164B77C8804B00AA00000000000000000000000000F7
07-30-2019 21:25:10.308,25,RECV,7E005A900013A200417E3816FFFE4100000045000150E012442B947C18287FF1F6C164B52FFFA0B15CA0B34C9B45C0B06C0B06C0B06CA12B38C9B50C8B50C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100356B89C55B38C164B7731
07-30-2019 21:25:10.408,26,RECV,7E006D900013A200417E3816FFFE4100000046040148E012442B947C22120FF1F6C164B52FFFA0B17CA0B34C9B48CA0B06C0B12C0B00CA12B75C7B56C9B69C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100358B92C55B39C164B60C8810B00AA0000000000000000000000000006C
07-30-2019 21:25:15.338,27,RECV,7E0071900013A200417E3816FFFE4100000047000049E012442B947C23511FF1F6C164B52FFFA0B17CA0B33C9B48C0B00C0B00C0B06CA12B75C8B75C8B50C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100361B89C55B54C164B35C8847B00AA0000000000000000000000000000000000002C
07-30-2019 21:25:15.438,28,RECV,7E0059900013A200417E3816FFFE4100000048000148E012442B947C23511FF1F6C164B52FFFA0B17CA0B33C9B48C0B00C0B00C0B06CA12B75C8B75C8B50C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B89C100361B89C55B54C164BD1
07-30-2019 21:25:20.438,29,RECV,7E0072900013A200417E3816FFFE4100000049000049E012442B947C27871FF1F6C164B52FFFA0B16CA0B33C9B45C0B06CA0B12CA0B06CA12B06C9B88C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B90C100361B23C55B36C164B40C8827B00AA00000000000000000000000000000000000077
